Author tag,Author username,Author avatar,Is bot,Date,Content,Mentions,Attachments,Channel,Symptom1(Edginess_or_restlessness),Symptom2(Tiring_easily_more_fatigued_than_usual),Symptom3(Impaired_concentration_or_feeling_as_though_the_mind_goes_blank),Symptom4(irritability),Symptom5(Increased_muscleaches_or_soreness),Symptom6(Difficulty_sleeping),Symptom7(No_symptoms),AnxietyIntensity
#6726,ColdAsIce,https://cdn.discordapp.com/avatars/805578562164752465/edf118271bb3ebf7ef9be1b51cb4c4a4.png,No,3/3/2022 9:52,Does anyone else experience shaky hands when having SA? Every other symptom I have I can hide from others but this one I obviously can’t and it’s embarrassing 😦,The Real Novice#2721,,R/SocialAnxiety,Y,N,N,N,N,N,N,1
#4990,Iroiry,https://cdn.discordapp.com/avatars/492824195470721038/0386aebb00058a597ac87c77dfc08642.png,No,4/15/2022 10:38,Theater teacher in 7th grade taught everyone to look at the other actor's forehead so you don't get distracted,potatophoenix#5337,,R/SocialAnxiety,N,N,Y,N,N,N,N,1
#4289,Gorpu,https://cdn.discordapp.com/avatars/309410293023506432/296f8e0c8cb9bcd62c202dbcc253ff47.png,No,4/14/2022 10:21,"when I was forced into things like that, what helped me was trying to look for other people who look uncomfortable/isolate themselves at the convention and start a talk about how your not really enjoying yourself",compcube#4275,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#7130,notvanished_,https://cdn.discordapp.com/avatars/869414701837189171/5a5c07da3d302027f54f67138b798073.png,No,12/14/2021 17:15,"Hi there ✨, I don't think you're overreacting. All your feelings are valid & even if it's not SA something is clearly bothering you and you have the right to talk about it with someone! I remember my days back in highschool it was definitely hard. As I became older I still struggle with SA and shyness it's literally a mix of both I believe making me unable to hold down a job lol, wished I had faced my fears sooner rather than later but oh well. Maybe prepare a short list of what you want to tell them?",Labra#8101,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1613,Wowzers,https://cdn.discordapp.com/avatars/570373440842891264/4c959b2385daa3925a8dec14884de09c.png,No,4/18/2022 19:54,same here!! Before quarintine i was such a social person but coming back to real school almost like changed my completely. i have hella anxiety in conversations and my mind goes blank. idk what happened.,jeongsachaeng#2485,,R/SocialAnxiety,Y,N,Y,N,N,N,N,2
#7376,strawberrybanana🍓🍌,https://cdn.discordapp.com/avatars/738519765810675714/a416008fa4a4df8103454b751d6104cf.png,No,3/14/2022 21:42,if I can do it you can do it .. I waited till I was 27 to take college public speaking class,late#2302,https://cdn.discordapp.com/attachments/369547956472250378/953151056559362078/4aaae72_-_Copy.jpg,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#7376,CLtheman1,https://cdn.discordapp.com/avatars/534841403709325332/80d843d2df9305ab33b89cef4749beab.png,No,7/4/2021 16:12,<#379321704276688899> Is pretty dead right now...,Jackal_Serin#0476,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8657,Carrot,https://cdn.discordapp.com/avatars/719020976938942488/2894698a24f1a8bb4b8a5f986e8be2e8.png,No,9/5/2021 4:58,Online school because covid or is it originally online school?,Devil_d_jailer#9248,https://cdn.discordapp.com/attachments/369547956472250378/951305786976514058/unknown.png,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5882,Coffé_Hound,https://cdn.discordapp.com/avatars/219690197250605066/186b306fc42c5e785c464969e412d2f7.png,No,8/1/2021 5:05,I usually feel comforted by the sea of people if i'm just walking or something,Sincere#7130,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4128,NimbleShadow,https://cdn.discordapp.com/avatars/702152532272611398/a1d3daa3c01e65a7e4aa2854b626dc55.png,No,4/18/2022 14:56,"This might sound stupid, but everyone has some level of social anxiety, and the thing is - everyone just thinks about themselves. Everyone is scared of you to lesser or greater extent as you are scared of them, if you know what I mean.",ariel#6408,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6408,ariel,https://cdn.discordapp.com/avatars/829726237957554197/fe3e2076d5a7a25e441ff1b9bcb1c405.png,No,4/18/2022 14:55,"I got a gym membership a couple weeks ago, went to an induction but haven’t been back since… any tips?! I’m sooo nervous but need to go for my mental health",NimbleShadow#4128,,R/SocialAnxiety,Y,N,N,N,N,N,N,1
#0801,"on break, back on the the 24th!",https://cdn.discordapp.com/avatars/886628345360547880/a_54502f38f868c3a43dd9cc4d17cff0f1.gif,No,2/21/2022 17:54,"hello! does anyone else have super bad anxiety about voice chatting to people in gaming etc..? i recently am trying to get better with using a mic but i just get so bad. i can just not even talk and start panicking. yesterday i was alright, i didnt talk a lot but i did a bit (i was playing late at night so didnt feel great when i went to sleep) but today when i woke up i felt horrible all day? im not sure if my anxiety was just playing up that day or it was something to do w vc. i just came off again for today now and did better than yesterday i talked more and stuff but then i got really bad as they were asking personal questions so i have a feeling im gonna have trouble sleeping, but anyway i was just wondering if anyone felt the same and if you have any tips for me",TilteD24#9087,,R/SocialAnxiety,Y,Y,N,N,N,Y,N,3
#0047,appaloosa,https://cdn.discordapp.com/avatars/640199739907768332/6a9d66853ba4ed26d490a21fb25bc418.png,No,4/18/2022 7:25,I do that as well,ariel#6408,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2814,Ruben_Ninja,https://cdn.discordapp.com/avatars/432932993485504522/188fdf12b8ad152821fb0532a3a813c8.png,No,9/14/2021 14:06,How do you tell your parents that you think ou might have social anxiety,pawprint#1246,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1334,Zugtry,https://cdn.discordapp.com/avatars/739024641753874492/1a9a4bd29ee7d70dd4242e6ad4691a1f.png,No,4/18/2022 10:46,i don't even know how to get into a social situation at this point,,,R/SocialAnxiety,Y,N,N,N,N,N,N,1
#4110,geoni,https://cdn.discordapp.com/avatars/610911247940059154/4f67c4f644633a37a66b1e651d8125b1.png,No,11/17/2021 10:27,"what do you do when there's a group that talk alot and notice you, then they say ""you are so quiet, say something""?",racoonspirit#9484,,R/SocialAnxiety,N,N,N,Y,N,N,N,1
#9539,Karimsecond acc,https://cdn.discordapp.com/avatars/834328421210914836/0752130d2ae0d7d88be369d865aab89f.png,No,11/8/2021 1:12,total blast,Mitten Man#2169,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#6389,Spud,https://cdn.discordapp.com/avatars/582699447159357450/b1f2b8b72ced9aafae5794339b04f5e0.png,No,11/30/2021 6:47,How to cure,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#9724,Error 404,https://cdn.discordapp.com/avatars/872537206105989193/9b3628a9e959a5842e10ecc356274774.png,No,4/18/2022 7:23,the first thing I do every morning is check my notifs to see if I have any messages,malu.figueroa#5811,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2463,Nikhil_YT,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,4/12/2022 8:20,Hi,geoni#4110,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5586,Pressure,https://cdn.discordapp.com/avatars/430046189745078275/4c3ec12fb2dea3a111a21b63cbec2f76.png,No,3/31/2022 2:25,Same here,nxtboyIII#6472,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1178,Aboww,https://discord.com/assets/6debd47ed13483642cf09e832ed0bc1b.png,No,4/15/2022 13:18,Has anyone been able to cure themselves without medication?,Ollie#0065,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#4479,BIRBYFROG,https://cdn.discordapp.com/avatars/850235340258148353/3939373389aa266e1317a8717f3e3c29.png,No,3/23/2022 2:20,"Yes, my friend cant even hear me when i start speaking 😅",ColdAsIce#6726,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#8372,Wooby Gomtre,https://cdn.discordapp.com/avatars/186027968642940928/270dc72ccca0f02152765c7b045c8d6f.png,No,9/20/2021 8:36,<@&859910376489615380> please ^^,,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#5811,malu.figueroa,https://cdn.discordapp.com/avatars/251135467372675083/0d3f62fb34ee863a6cf49291e8f81f5b.png,No,3/21/2022 0:06,"i don't have medical advice, but i just wanted to say this was written beautifully like the first chapter of an autobiography and i'd be willing to read more",FARUQ#6709,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1040,Caseyishiding,https://cdn.discordapp.com/avatars/772311974070583308/e9221ac43390fe8caa74ee0622d900b7.png,No,7/17/2021 1:52,It's actually flight fight or freeze... Ppl forget the freeze one...,LitLynx#9596,,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#1337,Greg Ritferd Jr,https://cdn.discordapp.com/avatars/476828222076747787/dbc5429a2cbb965537f155460d096b48.png,No,9/18/2021 21:42,"I wouldn’t say that’s social anxiety but might be something else, I just can’t think of the name for it but I’m most positive that you aren’t alone in feeling this way:)",Vitesse#6372,https://cdn.discordapp.com/attachments/369547956472250378/910972093632483388/IMG_2736.png,R/SocialAnxiety,N,N,N,N,N,N,Y,0
#2485,jeongsachaeng,https://cdn.discordapp.com/avatars/941687261177716777/915ad5af4146e88a32ed7d88805bf0ec.png,No,4/17/2022 17:25,anyone else lonely in school here? online classes really had an effect on my social anxiety and depression. its monday again and my anxiety is getting out of hand.,stefflynn#8412,,R/SocialAnxiety,Y,Y,N,N,N,N,N,1
